########

## 	Model: LSTM with N=512

########

633	0.169929
634	0.175542
635	0.193222
636	0.209466
637	0.197662
638	0.190429
639	0.192598
640	0.182017
641	0.173037
642	0.178215
643	0.190750
644	0.184112
645	0.176071
646	0.178571
647	0.177560
648	0.182744
649	0.179804
650	0.176057
651	0.186034
652	0.169915
653	0.173643
654	0.172435
655	0.189246
656	0.171664
657	0.180808
658	0.195460
659	0.183851
660	0.168049
661	0.167637
662	0.168926
663	0.179207
664	0.200216
665	0.188285
666	0.173630
667	0.169411
668	0.177029
669	0.178967
670	0.200379
671	0.194046
672	0.174282
673	0.170606
674	0.181524
675	0.166815
676	0.166598
677	0.167064
678	0.187412
679	0.201932
680	0.192947
681	0.173824
682	0.177205
683	0.191330
684	0.174293
685	0.170045
686	0.184079
687	0.163826
688	0.176834
689	0.197238
690	0.199055
691	0.178568
692	0.179067
693	0.192061
694	0.173693
695	0.174030
696	0.186391
697	0.168049
698	0.169914
699	0.171930
700	0.176463
701	0.179238
702	0.179072
703	0.173230
704	0.174260
705	0.170855
706	0.177223
707	0.176667
708	0.179514
709	0.170451
710	0.162342
711	0.168884
712	0.193885
713	0.177036
714	0.161626
715	0.159477
716	0.170414
717	0.160788
718	0.182018
719	0.160208
720	0.172678
721	0.196112
722	0.179749
723	0.157014
724	0.160591
725	0.172131
726	0.154000
727	0.171119
728	0.165928
729	0.274816
730	0.200724
731	0.196592
732	0.187002
733	0.177804
734	0.165032
735	0.165862
736	0.156682
737	0.181400
738	0.196098
739	0.172455
740	0.145974
741	0.154318
742	0.189969
743	0.169017
744	0.149135
745	0.146191
746	0.182684
747	0.166666
748	0.143173
749	0.138825
750	0.170864
751	0.139737
752	0.145502
753	0.169860
754	0.143068
755	0.141173
756	0.186768
757	0.165089
758	0.136674
759	0.145598
760	0.184910
761	0.174044
762	0.146657
763	0.125921
764	0.175013
765	0.247505
766	0.186098
767	0.168032
768	0.148879
769	0.134597
770	0.133301
771	0.136178
772	0.170829
773	0.148830
774	0.125011
775	0.117034
776	0.146030
777	0.119791
778	0.122387
779	0.152868
780	0.197121
781	0.187920
782	0.173573
783	0.151162
784	0.121032
785	0.121760
786	0.170208
787	0.143911
788	0.126572
789	0.174087
790	0.344769
791	0.192108
792	0.188693
793	0.176834
794	0.168559
795	0.164792
796	0.155542
797	0.144714
798	0.136824
799	0.183955
800	0.146280
801	0.121486
802	0.122032
803	0.217082
804	0.195076
805	0.182099
806	0.172883
807	0.157169
808	0.133438
809	0.120995
810	0.113543
811	0.111854
812	0.120438
813	0.127868
814	0.128840
815	0.139334
816	0.106480
817	0.114878
818	0.114939
819	0.123429
820	0.176868
821	0.159936
822	0.127035
823	0.114582
824	0.124286
825	0.124934
826	0.164990
827	0.132987
828	0.107617
829	0.113563
830	0.110108
831	0.129340
832	0.129991
833	0.179074
834	0.168085
835	0.135341
836	0.106306
837	0.110879
838	0.133875
839	0.114537
840	0.151850
841	0.340235
842	0.182936
843	0.170174
844	0.162133
845	0.141147
846	0.119435
847	0.138014
848	0.317302
849	0.191035
850	0.182182
851	0.177876
852	0.171564
853	0.156067
854	0.141201
855	0.128370
856	0.122817
857	0.108056
858	0.105720
859	0.107699
860	0.120388
861	0.112621
862	0.129401
863	0.106546
864	0.112633
865	0.120700
866	0.150059
867	0.117779
868	0.113594
869	0.112408
870	0.116463
871	0.147148
872	0.107793
873	0.113353
874	0.121682
875	0.110287
876	0.129324
877	0.106299
878	0.109562
879	0.121026
880	0.204979
881	0.362214
882	0.200993
883	0.178590
884	0.167902
885	0.154322
886	0.132009
887	0.127697
888	0.130992
889	0.168809
890	0.149047
891	0.121151
892	0.114475
893	0.110702
894	0.105956
895	0.129464
896	0.106947
897	0.110843
898	0.101540
899	0.123943
900	0.107218
901	0.114538
902	0.113470
903	0.142653
904	0.103096
905	0.110335
906	0.127812
907	0.112133
908	0.104830
909	0.111634
910	0.111080
911	0.146403
912	0.119105
913	0.109555
914	0.116681
915	0.109424
916	0.126204
917	0.104228
918	0.119562
919	0.117374
920	0.126970
921	0.100536
922	0.105760
923	0.115225
924	0.141110
925	0.115278
926	0.109572
927	0.124704
928	0.103912
929	0.121055
930	0.109801
931	0.118021
932	0.119418
933	0.136516
934	0.128370
935	0.275719
936	0.174831
937	0.141864
938	0.135362
939	0.140830
940	0.153151
941	0.125502
942	0.131243
943	0.115830
944	0.138419
945	0.126602
946	0.109951
947	0.129994
948	0.102522
949	0.102654
950	0.101888
951	0.102866
952	0.122961
953	0.104193
954	0.105214
955	0.105285
956	0.131015
957	0.103608
958	0.105835
959	0.115184
960	0.156319
961	0.123741
962	0.104960
963	0.098736
964	0.122174
965	0.109330
966	0.120907
967	0.113387
968	0.121039
969	0.110049
970	0.140315
971	0.114956
972	0.145266
973	0.255713
974	0.186557
975	0.137522
976	0.154246
977	0.146341
978	0.144182
979	0.186132
980	0.144703
981	0.115376
982	0.100509
983	0.104950
984	0.101226
985	0.102150
986	0.102527
987	0.097129
988	0.108711
989	0.106881
990	0.131412
991	0.101358
992	0.105187
993	0.098197
994	0.101135
995	0.106467
996	0.109518
997	0.138873
998	0.114497
999	0.103069
1000	0.116166
1001	0.108414
1002	0.115067
1003	0.108436
1004	0.116128
1005	0.106157
1006	0.106765
1007	0.111339
1008	0.131192
1009	0.104367
1010	0.098133
1011	0.122891
1012	0.104609
1013	0.105552
1014	0.126551
1015	0.115527
1016	0.171862
