########

## 	Model: LSTM with N=1024

########

691	0.115597
692	0.143196
693	0.109829
694	0.113399
695	0.122938
696	0.121138
697	0.150755
698	0.118560
699	0.120562
700	0.137014
701	0.132572
702	0.117749
703	0.122424
704	0.134992
705	0.117251
706	0.108266
707	0.112039
708	0.145323
709	0.116634
710	0.110084
711	0.128494
712	0.109418
713	0.116928
714	0.118346
715	0.136377
716	0.105797
717	0.122427
718	0.117280
719	0.145992
720	0.128579
721	0.130873
722	0.119241
723	0.117008
724	0.139741
725	0.121344
726	0.112557
727	0.131134
728	0.125071
729	0.111982
730	0.107214
731	0.104494
732	0.120217
733	0.130430
734	0.153246
735	0.127672
736	0.112056
737	0.112632
738	0.119862
739	0.153772
740	0.135073
741	0.125127
742	0.115746
743	0.112977
744	0.120896
745	0.135261
746	0.109288
747	0.113557
748	0.108502
749	0.105990
750	0.115541
751	0.133574
752	0.111947
753	0.108042
754	0.116058
755	0.125616
756	0.155288
757	0.133217
758	0.135508
759	0.118581
760	0.123884
761	0.108387
762	0.120683
763	0.113194
764	0.117407
765	0.109957
766	0.144571
767	0.115870
768	0.112503
769	0.115873
770	0.114189
771	0.116675
772	0.118703
773	0.125001
774	0.100057
775	0.126774
776	0.118006
777	0.112902
778	0.114392
779	0.141646
780	0.102346
781	0.107841
782	0.119534
783	0.112086
784	0.120985
785	0.121117
786	0.131625
787	0.126359
788	0.116681
789	0.121988
790	0.113236
791	0.141955
792	0.125594
793	0.109112
794	0.114205
795	0.141773
796	0.106730
797	0.114454
798	0.115942
799	0.121035
800	0.134022
801	0.105555
802	0.106652
803	0.113332
804	0.118127
805	0.113903
806	0.126038
807	0.106004
808	0.101932
809	0.105919
810	0.122156
811	0.111642
812	0.127088
813	0.114573
814	0.122439
815	0.120291
816	0.124244
817	0.119370
818	0.114325
819	0.116283
820	0.126342
821	0.109984
822	0.116011
823	0.117169
824	0.122739
825	0.121008
826	0.104846
827	0.113424
828	0.112788
829	0.112990
830	0.107782
831	0.115233
832	0.138171
833	0.112070
834	0.117431
835	0.114961
836	0.123108
837	0.130627
838	0.120220
839	0.185525
840	0.150409
841	0.144774
842	0.146817
843	0.125829
844	0.124513
845	0.116137
846	0.113134
847	0.110383
848	0.145148
849	0.122292
850	0.102765
851	0.113622
852	0.110304
853	0.119919
854	0.108741
855	0.115473
856	0.114039
857	0.119497
858	0.112375
859	0.114128
860	0.115922
861	0.126329
862	0.115553
863	0.115486
864	0.118488
865	0.115854
866	0.121075
867	0.145630
868	0.118942
869	0.101567
870	0.129750
871	0.113729
872	0.114281
873	0.109564
874	0.108000
875	0.111501
876	0.108692
877	0.123066
878	0.114105
879	0.132547
880	0.114529
881	0.135926
882	0.117674
883	0.112528
884	0.111626
885	0.120743
886	0.118631
887	0.110655
888	0.112441
889	0.114963
890	0.116464
891	0.109318
892	0.121149
893	0.145951
894	0.124619
895	0.112236
896	0.106933
897	0.114243
898	0.113399
899	0.120557
900	0.113820
901	0.117338
902	0.114762
903	0.130256
904	0.113574
905	0.106321
906	0.112186
907	0.107279
908	0.109747
909	0.105904
910	0.117243
911	0.121338
