########

## 	Model: EURNN with N=512 FFT

########

596	0.285788
597	0.280544
598	0.274215
599	0.252690
600	0.248529
601	0.255982
602	0.269422
603	0.275507
604	0.264857
605	0.256397
606	0.255571
607	0.264455
608	0.271069
609	0.273226
610	0.241921
611	0.238786
612	0.234954
613	0.236982
614	0.255095
615	0.300976
616	0.293666
617	0.300295
618	0.281033
619	0.248350
620	0.291209
621	0.301879
622	0.281349
623	0.260901
624	0.251262
625	0.246572
626	0.240791
627	0.237734
628	0.233436
629	0.232091
630	0.232433
631	0.231426
632	0.234685
633	0.241507
634	0.245997
635	0.264374
636	0.285337
637	0.263338
638	0.253365
639	0.244253
640	0.245848
641	0.248933
642	0.248051
643	0.252842
644	0.263233
645	0.241615
646	0.235942
647	0.233652
648	0.234901
649	0.244736
650	0.264478
651	0.260246
652	0.258620
653	0.241994
654	0.236899
655	0.235024
656	0.235431
657	0.241585
658	0.245962
659	0.248303
660	0.253125
661	0.254200
662	0.249589
663	0.246997
664	0.244025
665	0.237581
666	0.237752
667	0.243608
668	0.248147
669	0.242267
670	0.243854
671	0.237753
672	0.234297
673	0.232885
674	0.233663
675	0.231325
676	0.232663
677	0.235670
678	0.238545
679	0.241750
680	0.243197
681	0.249888
682	0.254600
683	0.263026
684	0.262041
685	0.253590
686	0.287588
687	0.495939
688	0.274884
689	0.432343
690	0.391029
691	0.332504
692	0.303137
693	0.336363
694	0.453599
695	0.306490
696	0.409280
697	0.456872
698	0.326207
699	0.275798
700	0.293346
701	0.250519
702	0.235823
703	0.244249
704	0.234324
705	0.232359
706	0.231208
707	0.230579
708	0.229693
709	0.227389
710	0.228526
711	0.231036
712	0.231631
713	0.229911
714	0.230997
715	0.235785
716	0.239008
717	0.235071
718	0.233943
719	0.228840
720	0.229330
721	0.229842
722	0.231304
723	0.230696
724	0.233127
725	0.233186
726	0.232617
727	0.238031
728	0.242116
729	0.244291
730	0.241733
731	0.245969
732	0.240713
733	0.234279
734	0.230186
735	0.233519
736	0.238462
737	0.246455
738	0.238626
739	0.236142
740	0.233852
741	0.230627
742	0.231832
743	0.233026
744	0.230929
745	0.234203
746	0.241519
747	0.249625
748	0.250949
