########

## 	Model: EURNN with N=512 L=2

########

1537	0.228960
1538	0.244396
1539	0.228427
1540	0.229428
1541	0.228650
1542	0.227840
1543	0.226667
1544	0.229221
1545	0.226381
1546	0.228966
1547	0.226316
1548	0.224548
1549	0.224681
1550	0.226096
1551	0.226563
1552	0.229781
1553	0.229919
1554	0.228725
1555	0.231548
1556	0.232128
1557	0.228654
1558	0.229149
1559	0.227081
1560	0.226997
1561	0.227583
1562	0.228024
1563	0.226338
1564	0.227224
1565	0.226207
1566	0.229093
1567	0.229456
1568	0.227664
1569	0.226889
1570	0.228589
1571	0.229771
1572	0.229917
1573	0.227139
1574	0.230286
1575	0.229817
1576	0.225469
1577	0.228244
1578	0.226829
1579	0.225916
1580	0.225719
1581	0.226312
1582	0.228237
1583	0.227887
1584	0.231821
1585	0.227797
1586	0.226754
1587	0.229579
1588	0.224307
1589	0.225428
1590	0.225944
1591	0.225384
1592	0.226857
1593	0.226565
1594	0.228731
1595	0.225446
1596	0.228241
1597	0.229456
1598	0.231721
1599	0.246907
1600	0.235498
1601	0.235741
1602	0.230064
1603	0.227577
1604	0.228564
1605	0.227293
1606	0.225405
1607	0.227107
1608	0.225723
1609	0.227694
1610	0.226682
1611	0.228950
1612	0.228691
1613	0.230268
1614	0.229841
1615	0.228395
1616	0.226483
1617	0.227116
1618	0.228023
1619	0.226525
1620	0.227334
1621	0.224278
1622	0.225930
1623	0.224501
1624	0.226432
1625	0.226103
1626	0.232372
1627	0.231506
1628	0.228968
1629	0.226735
1630	0.228889
1631	0.226752
1632	0.226608
1633	0.226753
1634	0.224797
1635	0.224848
1636	0.227533
1637	0.225958
1638	0.224837
1639	0.227675
1640	0.225210
1641	0.228701
1642	0.231157
1643	0.232382
1644	0.227345
1645	0.228936
1646	0.231449
1647	0.227241
1648	0.229596
1649	0.224134
1650	0.227822
1651	0.225072
1652	0.228933
1653	0.227207
1654	0.226344
1655	0.226127
1656	0.223907
1657	0.223908
1658	0.225920
1659	0.225449
1660	0.227284
1661	0.224837
1662	0.228347
1663	0.229097
1664	0.227223
1665	0.228481
1666	0.226585
1667	0.225769
1668	0.229058
1669	0.229025
1670	0.226562
1671	0.228385
1672	0.231870
1673	0.227146
1674	0.228069
1675	0.225033
1676	0.226970
1677	0.227910
1678	0.225656
1679	0.225464
1680	0.225949
1681	0.223170
1682	0.226832
1683	0.226498
1684	0.231149
1685	0.226503
1686	0.227634
1687	0.225744
1688	0.224868
1689	0.228001
1690	0.227691
1691	0.227254
1692	0.226521
1693	0.226754
1694	0.225674
1695	0.226499
1696	0.227815
1697	0.227880
1698	0.226909
1699	0.226551
1700	0.234556
1701	0.230175
1702	0.227578
1703	0.226473
1704	0.226068
1705	0.226198
1706	0.227526
1707	0.226357
1708	0.224157
1709	0.225288
1710	0.227107
1711	0.226028
1712	0.224757
1713	0.223794
1714	0.225995
1715	0.226766
1716	0.226405
1717	0.249806
1718	0.233128
1719	0.231539
1720	0.226338
1721	0.227181
1722	0.227640
1723	0.226310
1724	0.226082
1725	0.225506
1726	0.226393
1727	0.226586
1728	0.226314
